tweet_id,tweet_text,fine_category,proxy_urgency,mahek_urgency,pratyusha_urgency
919783359500337152,Bernese mountain dog emerges alive and happy from California wildfire á½ƒ6á½’5á½„Dá½ 1 https://t.co/S6WXXSzAyG https://t.co/l8icAJvFAX,affected_individuals,4,1,1
907576011449147392,Immigrants face impossible choices in the aftermath of Hurricane Harvey https://t.co/Owg2neCCSZ https://t.co/VhBINRTVIP,affected_individuals,4,4,1
909783378110623744,Irma Victims Get Three Extra Months to Pay Insurance Premiums https://t.co/SzjLR6ogV4 https://t.co/tsCWVzDQG1,affected_individuals,4,1,4
905537409529425920,@williamlegate hey is this the Reach out America Trump is donating to instead of directly to Harvey victims https://t.co/NfmOsmpCtS,affected_individuals,4,2,2
905256498984493056,Babies evacuated from neonatal intensive care during Harvey now expected to return home. https://t.co/J87Kkqk5XT https://t.co/24NjGVWPTr,affected_individuals,4,4,4
913740142678069248,RAW VIDEO: Terrified Mexicans Run From Crumbling Buildings - Mexico Earthquake https://t.co/BBimfSXa8w #staged https://t.co/Sq2uiNjU02,infrastructure_and_utility_damage,3,4,4
914272099329507328,"#Hurricane #Maria #Power #Outage #Puts old, #Vulnerable at #Ri... - https://t.co/JEVRFP69Nz - #Us https://t.co/NsUwzfIIvT",infrastructure_and_utility_damage,3,3,3
910242368158277632,Irma‚Äôs damage to local trails less than feared https://t.co/T9XQERbODl https://t.co/SGaCjLxM72,infrastructure_and_utility_damage,3,3,3
913474359813181440,Vieques: Hurricane Maria-ravaged island remains isolated https://t.co/H3MQB99YL7 https://t.co/1OFl0mAyBV,infrastructure_and_utility_damage,3,4,4
918360152255983618,USA: Napa Valley vineyards and wineries hit hard by California wildfires https://t.co/xuK5R1ki6Q https://t.co/1t0xx5Q1FE,infrastructure_and_utility_damage,3,3,3
905641790144790528,Hurricane Irma: Powerful storm blamed for three deaths - https://t.co/jweXAyMxeU https://t.co/8YEn4L0Kn1,injured_or_dead_people,5,5,5
917835067069788162,"Couple, ages 100 and 98, die in CaliforniaÂ wildfire https://t.co/KiNLo4LaVn https://t.co/qnJLB4EEvh",injured_or_dead_people,5,5,5
930379264201027584,"November 12, 2017 The strong earthquake on Iran-Iraq border killed about 450 people https://t.co/HCp7UcvPPY https://t.co/JiSbywYta8",injured_or_dead_people,5,5,5
910582078470852608,Seven Die and Thousands Hurricane-Stricken in Dominica After Maria - https://t.co/YZflfpn9Ga https://t.co/YtuDznHy2X,injured_or_dead_people,5,5,5
910035897462263808,Deregulated &amp; Unaccountable: For-Profit Nursing Homes in Florida Face Scrutiny After Irma Deaths‚Ä¶ https://t.co/OLIOQxuo2D,injured_or_dead_people,5,5,5
910151285793488897,i found this lil baby on the sidewalk after hurricane Irma ·Ω A I named her Irma https://t.co/06JdqkC6FH,missing_or_found_people,4,4,4
911721159791538176,Family members of someone missing say the Lord's Prayer #MexicoEarthquake https://t.co/Y16X1qUpaq,missing_or_found_people,4,4,3
921542832334262274,Deputies help Puerto Rico man find Tampa family https://t.co/ae1ngQuIqH https://t.co/TqiK0isjrA,missing_or_found_people,4,4,4
911889087782629376,#Israeli delegation continues search efforts in #Mexico City after deadly earthquake. https://t.co/nj0b86HNw4 https://t.co/bGzSY3SIyu,missing_or_found_people,4,4,4
909704790644543488,@Gothalion @T1gigz when you haven‚Äôt had power for 9 days bc of irma and all destiny progress was put at a stop https://t.co/JiIZrGFjit,not_humanitarian,1,2,2
913033803135901696,Heroes in This Galaxy: Diego Lunaâ€™s Charity Movement for Mexico City Earthquake Recovery https://t.co/UabWEWyH8A https://t.co/BtHUtTtdYA,not_humanitarian,1,2,2
908842348385316865,J.J. Watt's #Hurricane #Harvey #Charity #Fundraising #Closes... - https://t.co/k7v1tX7SAJ - #JJ #Topstories #Watts https://t.co/5CkytIhWuY,not_humanitarian,1,1,1
922090013092966401,Young Girlz face Puerto Rico for a chance to remain in World Cup hunt https://t.co/t5rGbFwDDi https://t.co/ZdbO6LwkiI,not_humanitarian,1,1,1
870130245625577472,WHY MORAL DECLINE MATTERS https://t.co/KITOvMa0Vd https://t.co/Xpv6Nvx38e,not_humanitarian,1,1,1
904256691939762176,"How to track the ongoing fallout from Hurricane Harvey, by @alexismadrigal https://t.co/VrgwuiK5ds https://t.co/nUisXSk3hS",other_relevant_information,2,2,2
910174179605057543,"Is your #commercial roof still feeling the effects of Irma, #Atlanta? Let us help: https://t.co/Ac96PmBhuR https://t.co/RhJACMonPg",other_relevant_information,2,2,2
907704019266785280,#Insurers on the #Hook for #Harvey and #Irma could #Signal e... - https://t.co/LUpBXiE1lu - #Finance https://t.co/VT73GONkYe,other_relevant_information,2,2,2
910189070072057856,"Once postponed due to Irma, the book fair is ready to go at Pine Trail. #ptepioneers https://t.co/LRvS9uiSna",other_relevant_information,2,1,1
909415687461986304,Please stay safe #STX! I can't believe the #USVI is in the direct path in back to back weeks. #Irma #Maria https://t.co/pmDIJFT9nT,other_relevant_information,2,3,3
923349889391751168,"Nice work @elonmusk and @Tesla, taking solar power to Puerto Rico. #corporategiving https://t.co/HSzRfoHBhN https://t.co/rTp25nA9E5",rescue_volunteering_or_donation_effort,3,2,2
917924652915273733,"California Wine Country Ravaged by Fires That Have Forced Evacuations of 25,000 Peopleâ€¦ https://t.co/00mSe36pRN https://t.co/OLPAElOxg7",rescue_volunteering_or_donation_effort,3,4,4
904742522358034432,RT @WLWT: Local church sending relief to Harvey victims https://t.co/djrSHuWnjR https://t.co/ILDmDgjRO1,rescue_volunteering_or_donation_effort,3,3,3
914277184805773312,"‘Many more will come,’ say recently arrived Puerto Ricans fleeing Hurricane Maria –… https://t.co/6p7iyrEK2r https://t.co/pCDHjznjnm",rescue_volunteering_or_donation_effort,3,2,2
909474431457689600,@TheNativeMsg A Look at the #WildlifeRehabilitation Efforts After Hurricane Harvey https://t.co/FAP6wth1Nh via psmag https://t.co/AjZ84NcYeD,rescue_volunteering_or_donation_effort,3,2,2
901697605851336704,RT @EmilyLo011: Currently stuck on Monroe.... R.I.P my truck... #HurricaneHarvey https://t.co/9f2UmEN1cg,vehicle_damage,2,1,1
