sample_id,image_path,source_label,severity,split
bff81f416ae6e5ca,/Users/pratyusha/Documents/CS - learning/python_learn/ml/final-project/pratyusha/data/raw/aider/AIDER/collapsed_building/collapsed_building_image0001.jpg,collapsed_building,severe,train
aa7d6584467c6e8e,/Users/pratyusha/Documents/CS - learning/python_learn/ml/final-project/pratyusha/data/raw/aider/AIDER/collapsed_building/collapsed_building_image0002.jpg,collapsed_building,severe,train
2c27bffd0be82d90,/Users/pratyusha/Documents/CS - learning/python_learn/ml/final-project/pratyusha/data/raw/aider/AIDER/collapsed_building/collapsed_building_image0003.jpg,collapsed_building,severe,train
a9f0414a67fb4245,/Users/pratyusha/Documents/CS - learning/python_learn/ml/final-project/pratyusha/data/raw/aider/AIDER/collapsed_building/collapsed_building_image0004.jpg,collapsed_building,severe,test
e7449ad6348b62c8,/Users/pratyusha/Documents/CS - learning/python_learn/ml/final-project/pratyusha/data/raw/aider/AIDER/collapsed_building/collapsed_building_image0005.jpg,collapsed_building,severe,train
a119718219a0d64f,/Users/pratyusha/Documents/CS - learning/python_learn/ml/final-project/pratyusha/data/raw/aider/AIDER/collapsed_building/collapsed_building_image0006.jpg,collapsed_building,severe,train
86afcf54067cfb29,/Users/pratyusha/Documents/CS - learning/python_learn/ml/final-project/pratyusha/data/raw/aider/AIDER/collapsed_building/collapsed_building_image0007.jpg,collapsed_building,severe,train
ff51fededd7f5675,/Users/pratyusha/Documents/CS - learning/python_learn/ml/final-project/pratyusha/data/raw/aider/AIDER/collapsed_building/collapsed_building_image0008.jpg,collapsed_building,severe,train
6a3fa2afe39e7f02,/Users/pratyusha/Documents/CS - learning/python_learn/ml/final-project/pratyusha/data/raw/aider/AIDER/collapsed_building/collapsed_building_image0009.jpg,collapsed_building,severe,train
ca6d14403a7f30b5,/Users/pratyusha/Documents/CS - learning/python_learn/ml/final-project/pratyusha/data/raw/aider/AIDER/collapsed_building/collapsed_building_image0010.jpg,collapsed_building,severe,train
ce7e96f9a06370bb,/Users/pratyusha/Documents/CS - learning/python_learn/ml/final-project/pratyusha/data/raw/aider/AIDER/collapsed_building/collapsed_building_image0011.jpg,collapsed_building,severe,train
1eea68c1d89fca9c,/Users/pratyusha/Documents/CS - learning/python_learn/ml/final-project/pratyusha/data/raw/aider/AIDER/collapsed_building/collapsed_building_image0012.jpg,collapsed_building,severe,train
b7353bb8d35e0579,/Users/pratyusha/Documents/CS - learning/python_learn/ml/final-project/pratyusha/data/raw/aider/AIDER/collapsed_building/collapsed_building_image0013.jpg,collapsed_building,severe,test
7f03e50f962872c0,/Users/pratyusha/Documents/CS - learning/python_learn/ml/final-project/pratyusha/data/raw/aider/AIDER/collapsed_building/collapsed_building_image0014.jpg,collapsed_building,severe,test
c11fd0f12d31f913,/Users/pratyusha/Documents/CS - learning/python_learn/ml/final-project/pratyusha/data/raw/aider/AIDER/collapsed_building/collapsed_building_image0015.jpg,collapsed_building,severe,train
b5778062cfcaf258,/Users/pratyusha/Documents/CS - learning/python_learn/ml/final-project/pratyusha/data/raw/aider/AIDER/collapsed_building/collapsed_building_image0016.jpg,collapsed_building,severe,test
f27d744302ed1f9a,/Users/pratyusha/Documents/CS - learning/python_learn/ml/final-project/pratyusha/data/raw/aider/AIDER/collapsed_building/collapsed_building_image0017.jpg,collapsed_building,severe,test
45b0506eb62f8a84,/Users/pratyusha/Documents/CS - learning/python_learn/ml/final-project/pratyusha/data/raw/aider/AIDER/collapsed_building/collapsed_building_image0018.jpg,collapsed_building,severe,train
4af6676a97aa47f5,/Users/pratyusha/Documents/CS - learning/python_learn/ml/final-project/pratyusha/data/raw/aider/AIDER/collapsed_building/collapsed_building_image0019.jpg,collapsed_building,severe,train
e21936aef91f2e1d,/Users/pratyusha/Documents/CS - learning/python_learn/ml/final-project/pratyusha/data/raw/aider/AIDER/collapsed_building/collapsed_building_image0020.jpg,collapsed_building,severe,train
b346ce57e29f1b48,/Users/pratyusha/Documents/CS - learning/python_learn/ml/final-project/pratyusha/data/raw/aider/AIDER/collapsed_building/collapsed_building_image0021.jpg,collapsed_building,severe,train
01c3eb0d52b0fab7,/Users/pratyusha/Documents/CS - learning/python_learn/ml/final-project/pratyusha/data/raw/aider/AIDER/collapsed_building/collapsed_building_image0022.jpg,collapsed_building,severe,train
8c8dc62d98b186ee,/Users/pratyusha/Documents/CS - learning/python_learn/ml/final-project/pratyusha/data/raw/aider/AIDER/collapsed_building/collapsed_building_image0023.jpg,collapsed_building,severe,val
b282111393cf4577,/Users/pratyusha/Documents/CS - learning/python_learn/ml/final-project/pratyusha/data/raw/aider/AIDER/collapsed_building/collapsed_building_image0024.jpg,collapsed_building,severe,val
cc2d0f173ac39b43,/Users/pratyusha/Documents/CS - learning/python_learn/ml/final-project/pratyusha/data/raw/aider/AIDER/collapsed_building/collapsed_building_image0025.jpg,collapsed_building,severe,train
25999f944f62f91a,/Users/pratyusha/Documents/CS - learning/python_learn/ml/final-project/pratyusha/data/raw/aider/AIDER/collapsed_building/collapsed_building_image0026.jpg,collapsed_building,severe,train
